,feature importance,biomolecule
868,0.0,ATMIN
869,0.0004648411088573361,ATN1
870,0.0,ATOH8
871,0.0,ATOX1
872,0.0,ATP10A
873,0.0,ATP10B
874,0.0,ATP10D
875,0.0,ATP11A
876,0.0,ATP11B
877,0.0,ATP11C
878,0.0,ATP13A1
879,0.0,ATP13A2
880,0.0,ATP13A3
881,0.0,ATP13A4
882,0.0,ATP1A1
883,0.0007417172673106423,ATP1A3
884,0.0,ATP1A4
885,0.0,ATP1B1
886,0.0,ATP1B2
887,0.0,ATP1B3
888,0.0,ATP1B4
889,0.0,ATP23
890,0.0,ATP2A1
891,0.0,ATP2A2
892,0.0,ATP2A3
893,0.0,ATP2B1
894,0.0,ATP2B4
895,0.0,ATP2C1
896,0.0,ATP2C2
897,0.0,ATP5F1A
898,0.0,ATP5F1B
899,0.0,ATP5F1C
900,0.0,ATP5F1D
901,0.0,ATP5F1E
902,0.0,ATP5IF1
903,0.0,ATP5MC1
904,0.0,ATP5MC2
905,0.0,ATP5MC3
906,0.0,ATP5MD
907,0.0,ATP5ME
908,0.0,ATP5MF
909,0.0,ATP5MF-PTCD1
910,0.0,ATP5MG
911,0.0,ATP5MPL
912,0.0,ATP5PB
913,0.0,ATP5PD
914,0.0,ATP5PF
915,0.0,ATP5PO
916,0.00038393415186682565,ATP6AP1
917,0.0,ATP6AP1L
918,0.0,ATP6AP2
919,0.0,ATP6V0A1
920,0.0,ATP6V0A2
921,0.00011870845204178527,ATP6V0B
922,0.0002466203872853489,ATP6V0C
923,0.0,ATP6V0D1
924,0.0,ATP6V0E1
925,0.0,ATP6V0E2
926,0.0,ATP6V1A
927,0.0006367924528301887,ATP6V1B2
928,0.0,ATP6V1C1
929,0.0,ATP6V1C2
930,0.0,ATP6V1D
931,0.0,ATP6V1E1
932,0.000453876545088793,ATP6V1E2
933,0.0,ATP6V1F
934,0.0,ATP6V1FNB
935,0.0,ATP6V1G1
936,0.0,ATP6V1G2
937,0.0,ATP6V1H
938,0.0005514705882352942,ATP7A
939,0.0003598157743235464,ATP7B
940,0.0,ATP8A1
941,0.0,ATP8A2
942,0.0007739288822979463,ATP8B2
943,0.0,ATP8B3
944,0.0005380629732961341,ATP8B4
945,0.0002149151085321298,ATP9A
946,0.0,ATP9B
947,0.0,ATPAF1
948,0.0,ATPAF2
949,0.0,ATPSCKMT
950,0.0,ATR
951,0.0,ATRAID
952,0.0,ATRIP
953,0.0,ATRN
954,0.0,ATRX
955,0.0,ATXN1
956,0.0,ATXN10
957,0.0,ATXN1L
958,0.0,ATXN2
959,0.0,ATXN2L
960,0.0,ATXN3
961,0.0,ATXN7
962,0.00045191409897292256,ATXN7L1
963,0.0,ATXN7L2
964,0.0,ATXN7L3
965,0.0,ATXN7L3B
966,0.0,AUH
967,0.0,AUNIP
968,0.0,AUP1
969,0.0,AURKA
970,0.0,AURKAIP1
971,0.0,AURKB
972,0.0,AURKC
973,0.0006327946277027527,AUTS2
974,0.0,AVEN
975,0.0,AVIL
976,0.0,AVL9
977,0.0,AVPI1
978,0.0,AVPR1A
979,0.0,AXIN1
980,0.0,AXIN2
981,0.0,AXL
982,0.0,AZI2
983,0.0,AZIN1
984,0.0,AZIN2
985,0.0,AZU1
986,0.0,B2M
987,0.0,B3GALNT1
988,0.0,B3GALNT2
989,0.0,B3GALT2
990,0.0,B3GALT4
991,0.0,B3GALT6
992,0.0,B3GAT1
993,0.0,B3GAT2
994,0.0,B3GAT3
995,0.0,B3GLCT
996,0.0002966101694915253,B3GNT2
997,0.0,B3GNT4
998,0.0,B3GNT5
999,0.0,B3GNT7
1000,0.0,B3GNT8
1001,0.0,B3GNT9
1002,0.0,B3GNTL1
1003,0.0,B4GALNT2
1004,0.0,B4GALNT3
1005,0.0,B4GALT1
1006,0.0,B4GALT2
1007,0.0,B4GALT3
1008,0.0,B4GALT4
1009,0.0,B4GALT5
1010,0.0,B4GALT6
1011,0.0,B4GALT7
1012,0.0,B4GAT1
1013,0.0,B9D1
1014,0.0,B9D2
1015,0.0,BABAM1
1016,0.0,BABAM2
1017,0.0002401905644147422,BACE1
1018,0.0,BACE2
1019,0.0,BACH1
1020,0.0,BACH2
1021,0.0,BAD
1022,0.0,BAG1
1023,0.0,BAG2
1024,0.0,BAG3
1025,0.0,BAG4
1026,0.0,BAG5
1027,0.0,BAG6
1028,0.0,BAHCC1
1029,0.0,BAHD1
1030,0.0,BAIAP2
1031,0.0,BAIAP2L1
1032,0.0,BAIAP3
1033,0.0,BAK1
1034,0.0,BAMBI
1035,0.0,BANF1
1036,0.0010187606631050954,BANK1
1037,0.0,BANP
1038,0.0,BAP1
1039,0.0,BARD1
1040,0.0,BASP1
1041,0.0,BATF
1042,0.0,BATF2
1043,0.0,BATF3
1044,0.0,BAX
1045,0.0,BAZ1A
1046,0.0,BAZ1B
1047,0.0,BAZ2A
1048,0.0,BAZ2B
1049,0.0,BBC3
1050,0.0,BBIP1
1051,0.0,BBOF1
1052,0.0,BBS1
1053,0.0,BBS10
1054,0.0,BBS12
1055,0.0,BBS2
1056,0.0,BBS4
1057,0.0,BBS5
1058,0.0,BBS7
1059,0.0,BBS9
1060,0.0,BBX
1061,0.0,BCAP29
1062,0.0,BCAP31
1063,0.0,BCAR3
1064,0.0,BCAS1
1065,0.0,BCAS2
1066,0.0,BCAS3
1067,0.0,BCAS4
1068,0.0,BCAT1
1069,0.0,BCAT2
1070,0.0,BCCIP
1071,0.0,BCDIN3D
1072,0.0,BCKDHA
1073,0.0,BCKDHB
1074,0.0,BCKDK
1075,0.0,BCL10
1076,0.0,BCL11A
1077,0.0,BCL11B
1078,0.0,BCL2
1079,0.0,BCL2A1
1080,0.0,BCL2L1
1081,0.0,BCL2L11
